date,time,temperature,humidity,wind_speed,precipitation
1/26/2022,8:00:00,17.3535,41,21.790596,0
1/26/2022,10:00:00,16.5535,42,20.18446,0
1/26/2022,12:00:00,14.8785,50.5,12.69374,0
1/26/2022,14:00:00,13.953501,56,12.637867,0
1/26/2022,16:00:00,13.0535,60.5,13.938198,0
1/26/2022,18:00:00,12.2535,63.5,15.389488,0
1/26/2022,20:00:00,11.453501,66.5,15.047068,0
1/26/2022,22:00:00,10.828501,68,14.381693,0
1/27/2022,0:00:00,10.4035,68,15.518414,0
1/27/2022,2:00:00,12.078501,58.5,15.298506,0
1/27/2022,4:00:00,15.578501,44,16.588537,0
1/27/2022,6:00:00,17.9285,36.5,20.321465,0
1/27/2022,8:00:00,18.6035,33.5,21.705423,0
1/27/2022,10:00:00,17.5285,35.5,19.902533,0
1/27/2022,12:00:00,15.5285,45.5,17.85939,0
1/27/2022,14:00:00,14.2785,52.5,20.44469,0
1/27/2022,16:00:00,12.9535,52,21.003914,0
1/27/2022,18:00:00,11.703501,45.5,20.80409,0
1/27/2022,20:00:00,10.953501,42.5,23.011919,0
1/27/2022,22:00:00,10.2285,44.5,21.206402,0
1/28/2022,0:00:00,9.7535,47,20.949263,0
1/28/2022,2:00:00,11.6785,42.5,20.460392,0
1/28/2022,4:00:00,15.678499,34,22.966602,0
1/28/2022,6:00:00,18.253498,29,27.072945,0
1/28/2022,8:00:00,19.0535,28,26.236198,0
1/28/2022,10:00:00,17.878498,32,20.694782,0
1/28/2022,12:00:00,15.6535,41.5,16.663448,0
1/28/2022,14:00:00,14.3535,48,15.927836,0
1/28/2022,16:00:00,13.3535,49.5,13.641975,0
1/28/2022,18:00:00,12.6035,50,14.425825,0
1/28/2022,20:00:00,11.9035,51,15.244267,0
1/28/2022,22:00:00,11.328501,52.5,15.297277,0
1/29/2022,0:00:00,10.9285,53,14.87686,0
1/29/2022,2:00:00,12.8785,47,9.765573,0
1/29/2022,4:00:00,16.7785,35.5,11.203015,0
1/29/2022,6:00:00,19.5535,29.5,14.316983,0
1/29/2022,8:00:00,20.6035,28.5,18.204512,0
1/29/2022,10:00:00,19.353498,34.5,17.899843,0
1/29/2022,12:00:00,17.003498,44.5,14.595153,0
1/29/2022,14:00:00,15.728499,50,17.43207,0
1/29/2022,16:00:00,14.453501,54,19.620918,0
1/29/2022,18:00:00,13.453501,56,22.347942,0
1/29/2022,20:00:00,12.6535,57,23.81509,0
1/29/2022,22:00:00,12.078501,57.5,25.656887,0
1/30/2022,0:00:00,11.8035,57,26.86872,0
1/30/2022,2:00:00,14.0035,47.5,25.543846,0
1/30/2022,4:00:00,18.4285,34,26.477175,0
1/30/2022,6:00:00,21.6285,28,28.769299,0
1/30/2022,8:00:00,22.6785,26.5,29.169895,0
1/30/2022,10:00:00,21.453499,30.5,25.660208,0
1/30/2022,12:00:00,18.578499,42,21.56475,0
1/30/2022,14:00:00,17.0535,44.5,20.63911,0
1/30/2022,16:00:00,15.8785,43.5,18.50512,0
1/30/2022,18:00:00,14.8785,44.5,12.324572,0
1/30/2022,20:00:00,13.9785,46,7.737151,0
1/30/2022,22:00:00,13.203501,46.5,4.6260576,0
1/31/2022,0:00:00,12.778501,46.5,2.980734,0
1/31/2022,2:00:00,14.9785,41.5,3.8118317,0
1/31/2022,4:00:00,19.128498,32,3.9855785,0
1/31/2022,6:00:00,22.328499,24.5,3.4367952,0
1/31/2022,8:00:00,23.2785,21,7.329417,0
1/31/2022,10:00:00,22.128498,23.5,11.689499,0
1/31/2022,12:00:00,19.0285,35.5,9.529013,0
1/31/2022,14:00:00,17.5285,42.5,7.3615465,0
1/31/2022,16:00:00,16.2535,47,7.122793,0
1/31/2022,18:00:00,15.328501,49.5,5.4572825,0
1/31/2022,20:00:00,14.5535,52.5,6.05861,0
1/31/2022,22:00:00,14.0035,54.5,6.399791,0
